format,image,mana_cost,name,percentage_deck,played_number,type
pauper,https://cdn1.mtggoldfish.com/images/gf/Urza%2527s%2BTower%2B%253CPlains%253E%2B%255BCHR%255D.jpg,0,Urza's Tower,2%,4.0,lands
pauper,https://cdn1.mtggoldfish.com/images/gf/Urza%2527s%2BPower%2BPlant%2B%253CSphere%253E%2B%255BCHR%255D.jpg,0,Urza's Power Plant,2%,4.0,lands
pauper,https://cdn1.mtggoldfish.com/images/gf/Urza%2527s%2BMine%2B%253CSphere%253E%2B%255BCHR%255D.jpg,0,Urza's Mine,2%,4.0,lands
pauper,https://cdn1.mtggoldfish.com/images/gf/Darkmoss%2BBridge%2B%255BMH2%255D.jpg,0,Darkmoss Bridge,2%,3.2,lands
pauper,https://cdn1.mtggoldfish.com/images/gf/Tranquil%2BCove%2B%255BKTK%255D.jpg,0,Tranquil Cove,2%,2.6,lands
pauper,https://cdn1.mtggoldfish.com/images/gf/Scoured%2BBarrens%2B%255BNEO%255D.jpg,0,Scoured Barrens,2%,4.0,lands
pauper,https://cdn1.mtggoldfish.com/images/gf/Khalni%2BGarden%2B%255BC13%255D.jpg,0,Khalni Garden,1%,2.0,lands
pauper,https://cdn1.mtggoldfish.com/images/gf/Thornwood%2BFalls%2B%255BKTK%255D.jpg,0,Thornwood Falls,1%,1.5,lands
pauper,https://cdn1.mtggoldfish.com/images/gf/Thriving%2BGrove%2B%255BAFC%255D.jpg,0,Thriving Grove,1%,1.3,lands
pauper,https://cdn1.mtggoldfish.com/images/gf/Gorilla%2BShaman%2B%255BMH2%255D.jpg,0,Gorilla Shaman,24%,1.8,creatures
pauper,https://cdn1.mtggoldfish.com/images/gf/Relic%2Bof%2BProgenitus%2B%255BMMA%255D.jpg,0,Relic of Progenitus,36%,1.6,spells
pauper,https://cdn1.mtggoldfish.com/images/gf/Spellstutter%2BSprite%2B%255BMMA%255D.jpg,0,Spellstutter Sprite,20%,4.0,creatures
pauper,https://cdn1.mtggoldfish.com/images/gf/Ninja%2Bof%2Bthe%2BDeep%2BHours%2B%255BC15%255D.jpg,0,Ninja of the Deep Hours,20%,3.4,creatures
pauper,https://cdn1.mtggoldfish.com/images/gf/Faerie%2BSeer%2B%255BMH1%255D.jpg,0,Faerie Seer,20%,3.6,creatures
pauper,https://cdn1.mtggoldfish.com/images/gf/Thraben%2BInspector%2B%255B2XM%255D.jpg,0,Thraben Inspector,20%,3.9,creatures
pauper,https://cdn1.mtggoldfish.com/images/gf/Kor%2BSkyfisher%2B%255BMM3%255D.jpg,0,Kor Skyfisher,15%,4.0,creatures
pauper,https://cdn1.mtggoldfish.com/images/gf/Seeker%2Bof%2Bthe%2BWay%2B%255BIMA%255D.jpg,0,Seeker of the Way,14%,3.8,creatures
pauper,https://cdn1.mtggoldfish.com/images/gf/Glint%2BHawk%2B%255BSOM%255D.jpg,0,Glint Hawk,13%,4.0,creatures
pauper,https://cdn1.mtggoldfish.com/images/gf/Lightning%2BBolt%2B%255BMB1%255D.jpg,0,Lightning Bolt,36%,3.8,spells
pauper,https://cdn1.mtggoldfish.com/images/gf/Electrickery%2B%255BRTR%255D.jpg,0,Electrickery,33%,2.0,spells
pauper,https://cdn1.mtggoldfish.com/images/gf/Dispel%2B%255BBFZ%255D.jpg,0,Dispel,29%,2.0,spells
pauper,https://cdn1.mtggoldfish.com/images/gf/Counterspell%2B%255BMH2%255D.jpg,0,Counterspell,27%,3.8,spells
pauper,https://cdn1.mtggoldfish.com/images/gf/Red%2BElemental%2BBlast%2B%255B4ED%255D.jpg,0,Red Elemental Blast,27%,2.7,spells
pauper,https://cdn1.mtggoldfish.com/images/gf/Pyroblast%2B%255BICE%255D.jpg,0,Pyroblast,26%,3.1,spells
pauper,https://cdn1.mtggoldfish.com/images/gf/Galvanic%2BBlast%2B%255B2XM%255D.jpg,0,Galvanic Blast,25%,4.0,spells
pauper,https://cdn1.mtggoldfish.com/images/gf/Blue%2BElemental%2BBlast%2B%255B3ED%255D.jpg,0,Blue Elemental Blast,24%,3.1,spells
pauper,https://cdn1.mtggoldfish.com/images/gf/Preordain%2B%255BCMR%255D.jpg,0,Preordain,24%,3.7,spells
pauper,https://cdn1.mtggoldfish.com/images/gf/Dust%2Bto%2BDust%2B%255B5ED%255D.jpg,0,Dust to Dust,22%,3.1,spells
pauper,https://cdn1.mtggoldfish.com/images/gf/Gut%2BShot%2B%255BMM2%255D.jpg,0,Gut Shot,21%,3.0,spells
pauper,https://cdn1.mtggoldfish.com/images/gf/Makeshift%2BMunitions%2B%255BCMR%255D.jpg,0,Makeshift Munitions,19%,2.0,spells
pauper,https://cdn1.mtggoldfish.com/images/gf/Thorn%2Bof%2Bthe%2BBlack%2BRose%2B%255BCMR%255D.jpg,0,Thorn of the Black Rose,12%,2.3,creatures
pauper,https://cdn1.mtggoldfish.com/images/gf/Moon-Circuit%2BHacker%2B%253Cshowcase%253E%2B%255BNEO%255D.jpg,0,Moon-Circuit Hacker,12%,3.5,creatures
pauper,https://cdn1.mtggoldfish.com/images/gf/Augur%2Bof%2BBolas%2B%255BMB1%255D.jpg,0,Augur of Bolas,11%,3.7,creatures
pauper,https://cdn1.mtggoldfish.com/images/gf/Gurmag%2BAngler%2B%255BMB1%255D.jpg,0,Gurmag Angler,11%,1.9,creatures
pauper,https://cdn1.mtggoldfish.com/images/gf/Dawnbringer%2BCleric%2B%255BAFR%255D.jpg,0,Dawnbringer Cleric,10%,2.2,creatures
pauper,https://cdn1.mtggoldfish.com/images/gf/Standard%2BBearer%2B%255BAP%255D.jpg,0,Standard Bearer,10%,2.8,creatures
